"Data";"AP_1.0";"AP_2.1";"AP_2.2";"AP_3.1";"AP_3.2";"AP_3.3";"AP_4.0";"AP_5.1";"AP_5.2";"AP_5.3"
"2008-02";23,99497;22,21866;21,77628;22,74151;23,13538;22,74666;21,24064;22,19922;22,13971;22,27896
"2008-03";22,58579;21,38309;21,15856;23,2005;23,35466;23,51864;21,57802;22,33297;21,97573;22,08591
"2008-04";22,05255;21,30897;21,04309;22,33002;22,29731;22,03005;20,6632;21,02422;20,21022;19,57443
"2008-05";19,87131;18,84098;18,51109;19,69672;19,39811;19,79666;18,2221;18,57837;18,4083;18,47281
"2008-06";18,84893;19,05318;18,72685;18,84745;19,44586;19,40971;18,62003;18,6457;18,43092;17,6002
"2008-07";18,25985;17,89845;17,07706;18,03135;17,99441;17,93231;16,63618;16,64928;16,28004;15,68144
"2008-08";20,35757;19,52893;19,36953;19,8728;20,25923;20,49101;18,72333;19,17936;18,84051;18,44895
"2008-09";18,52277;17,29991;17,14973;18,53446;18,38203;18,29605;17,17621;17,24063;17,58426;17,87685
"2008-10";22,16942;19,76628;20,48989;22,36662;23,61474;22,78475;20,05508;20,98007;20,56627;19,86619
"2008-11";17,43613;16,80806;15,81375;19,53471;19,53901;20,80969;16,29865;19,39753;18,06614;18,32739
"2008-12";21,84546;20,34955;20,48854;22,28698;23,24766;23,04675;20,57832;20,74257;20,16374;20,37037
"2009-01";25,09612;23,16441;23,21903;25,11583;25,53128;25,50391;23,32145;23,97552;21,80498;20,26205
"2009-02";24,16804;21,4836;22,43129;24,01092;23,57905;25,11445;23,18699;23,96855;23,9357;23,96465
"2009-03";23,10615;21,54534;21,97208;23,26741;23,64282;24,03218;21,51875;22,98523;22,48688;22,15471
"2009-04";20,15646;19,86896;18,55836;20,76375;20,89083;20,44975;18,92712;18,96389;18,28118;18,57739
"2009-05";21,0684;20,47083;19,63849;20,7369;21,45569;20,87902;19,84599;20,18514;19,68553;19,15886
"2009-06";18,09792;17,75962;16,61959;17,82124;17,89224;17,52251;16,48479;16,61606;16,17623;15,31424
"2009-07";17,56582;16,80246;16,91738;16,56652;17,26657;17,05112;15,86423;15,93443;16,51579;16,67597
"2009-08";19,54302;18,64367;18,45484;19,0559;19,59724;19,34959;18,32973;18,45073;18,24676;17,73955
"2009-09";21,83721;19,62693;20,58074;21,29538;21,88477;21,94496;20,07672;20,81854;20,84579;19,92075
"2009-10";20,64073;19,61711;19,39532;20,15046;20,18806;20,93205;19,3047;19,88862;19,82663;20,23156
"2009-11";24,53382;23,43328;22,55953;24,08783;24,0987;23,90923;22,6285;23,22227;22,39327;22,87777
"2009-12";24,30962;23,18044;22,86401;23,33686;24,15059;23,97326;21,71946;23,12932;22,09771;21,1545
"2010-01";26,71284;25,22041;24,46881;26,56315;26,4904;26,74574;24,46726;25,20867;24,81906;25,62633
"2010-02";27,75907;26,10727;25,99048;27,06951;27,99124;27,81597;25,61098;26,22041;25,62766;25,26149
"2010-03";24,7639;23,3387;22,98245;23,92864;25,33891;24,88562;22,62571;23,12314;22,58381;22,41056
