"Data";"AP_1.0";"AP_2.1";"AP_2.2";"AP_3.1";"AP_3.2";"AP_3.3";"AP_4.0";"AP_5.1";"AP_5.2";"AP_5.3"
"1990-09";138,282;94,42225;128,9554;87,81413;107,3665;89,02205;96,98912;103,8842;104,9767;94,38103
"1990-10";68,33305;51,8925;72,12471;60,86226;79,41415;66,25648;83,25222;69,39142;97,61972;109,2921
"1990-11";97,03457;89,94854;94,54465;64,85571;76,29623;62,40355;69,60115;75,02251;67,09565;79,37024
"1990-12";89,8852;85,9463;97,20938;55,44083;87,11711;65,14545;89,06324;84,55041;95,0325;104,1927
"1991-01";196,3124;181,5488;197,9697;144,5704;166,2371;153,573;161,6212;187,7077;161,8465;168,3033
"1991-02";228,3482;199,4115;242,7758;180,433;220,5641;167,6422;181,2741;174,7931;143,3013;131,365
"1991-03";247,7765;211,6645;270,4949;216,451;232,1697;229,9303;269,319;312,3177;296,1853;339,0946
"1991-04";133,1095;103,8831;139,1631;93,66039;110,5231;95,20396;128,5527;128,7119;131,8618;152,1107
"1991-05";138,7447;97,49582;134,8699;77,44478;95,57953;75,91684;90,84042;102,135;83,38589;67,10746
"1991-06";65,68576;39,35657;77,15902;50,11178;78,11138;56,38408;66,72836;66,94485;67,15928;65,15378
"1991-07";70,99438;51,13597;69,51094;34,46638;48,48143;33,43151;47,38931;40,31826;37,93191;42,52193
"1991-08";55,73184;35,54342;53,26921;23,97652;39,20609;24,3959;37,0932;28,0809;33,34114;42,37991
"1991-09";132,0625;94,46741;127,0608;103,4602;115,1557;106,4505;110,6712;92,01908;103,6683;103,2422
"1991-10";136,9507;113,5561;130,5782;99,90089;112,3577;96,69247;106,6807;101,5941;101,1355;109,1496
"1991-11";73,90297;71,61611;77,00468;47,9844;61,31136;45,74625;57,98851;54,56576;52,67574;55,93231
"1991-12";173,1553;171,8698;185,3916;130,1688;157,3695;144,8909;173,1523;201,3759;186,8034;208,7478
"1992-01";328,6475;314,0261;345,7343;230,1754;278,9016;254,3445;304,9369;313,8752;314,8975;340,6791
"1992-02";61,80969;53,73631;78,49787;68,05782;70,55307;54,90913;53,55307;57,80403;44,2074;44,3352
"1992-03";70,45084;68,31479;76,58744;52,46458;58,33027;58,25089;75,30166;76,41946;81,03008;97,83608
"1992-04";163,1331;120,4805;166,3552;109,1598;141,9191;112,9046;126,571;129,5801;87,46142;91,15997
"1992-05";109,1569;72,75422;99,04535;52,56511;78,75184;56,25769;72,52072;61,57478;72,94057;68,60122
"1992-06";20,19299;13,39607;21,00486;11,68743;16,18801;12,44445;17,78189;17,49921;19,96111;18,76972
"1992-07";135,1123;99,30725;138,3829;54,17704;95,52272;61,64538;88,91003;78,37436;74,25214;69,53814
"1992-08";89,83456;63,06393;110,2399;58,48617;83,27917;49,35423;71,70419;53,39083;53,79347;54,40064
"1992-09";224,3308;148,5569;210,0462;163,1653;186,9897;153,3752;168,6226;129,4059;160,7368;169,5485
"1992-10";121,3574;106,4348;121,3502;107,6657;88,64266;98,73641;92,05389;86,53604;92,85738;111,6676
"1992-11";327,9206;298,6546;331,0119;166,5456;267,7512;183,7198;246,8318;221,3414;234,123;261,9518
"1992-12";90,61431;84,51736;98,56515;71,54462;87,51315;77,75615;87,0983;96,41631;91,08592;101,7526
"1993-01";104,8651;91,2035;103,0063;79,65337;91,73766;82,76443;95,78981;103,828;96,02682;111,9233
"1993-02";208,9426;171,2242;207,8985;154,5115;193,7474;174,0156;196,5932;214,3004;207,0367;248,4492
"1993-03";240,3198;221,3605;262,2744;201,8778;208,5451;207,9899;223,0711;238,4954;204,1808;201,1164
"1993-04";180,864;151,7054;186,5121;98,89321;139,3859;109,7629;136,2747;121,891;113,7085;126,0592
"1993-05";123,7472;96,59532;138,8395;59,2865;97,87158;69,37302;89,71318;75,30664;68,97285;74,24527
"1993-06";116,3734;75,49026;114,1825;75,68752;93,10329;62,42786;84,32231;76,18158;83,54693;81,70333
"1993-07";36,95676;26,77671;37,39148;15,86094;25,91813;17,1443;27,82678;21,92734;24,50458;27,6774
